date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T21:16:12.916431,Postulado,Analista de modelamiento de datos,,,True,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-modelamiento-de-datos-en-tenjo-072F7E7852249C4661373E686DCF3405#lc=ListOffers-Score4-6
2026-02-09T21:16:15.679007,Postulado,Analista de Servicio al Cliente y Datos,,,True,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-servicio-al-cliente-y-datos-medellin-o-bogota-en-medellin-4A9C5E973DC46CD161373E686DCF3405#lc=ListOffers-Score4-7
2026-02-09T21:16:18.545466,Postulado,Analista Administrativo de datos,,sql,False,,45,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-administrativo-de-datos-comercial-en-bogota-dc-E21CE042D51D84A261373E686DCF3405#lc=ListOffers-Score4-8
2026-02-09T21:16:21.477941,Postulado,Analista de Mercadeo / Analistas de datos de CRM,,,False,,20,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-mercadeo-analistas-de-datos-de-crm-medellin-en-medellin-62625BB4D3843E8C61373E686DCF3405#lc=ListOffers-Score4-9
2026-02-09T21:16:24.193318,Se precisa Urgente,Data Analyst  inmobiliario/constructora/finca raíz,Empleo destacado,,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-data-analyst-inmobiliarioconstructorafinca-raiz-en-bogota-dc-EAF84115A99D456561373E686DCF3405#lc=ListOffers-Score4-10
2026-02-09T21:16:27.077977,Postulado,Analista de datos manejo de excel area comercial,,,True,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-manejo-de-excel-area-comercial-empresa-de-alimentos-fontibon-en-bogota-dc-ECF3FF6D0CB6A9E761373E686DCF3405#lc=ListOffers-Score4-11
2026-02-09T21:16:30.072418,Empleo destacado,Analista de Data Sector Inmobiliario,Postulado,,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-data-sector-inmobiliario-en-bogota-dc-1220373EE7E9EB1961373E686DCF3405#lc=ListOffers-Score4-12
2026-02-09T21:16:32.903215,Se precisa Urgente,Analista Riesgo de Información y Datos,Empleo destacado,,True,,66,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-riesgo-de-informacion-y-datos-sector-financiero-en-bogota-dc-10F0438E0B12724761373E686DCF3405#lc=ListOffers-Score4-13
2026-02-09T21:16:35.864930,Empleo destacado,Analista de datos junior,Postulado,"sql, software",False,junior,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-junior-medellin-en-medellin-E514AD31BBF168AB61373E686DCF3405#lc=ListOffers-Score4-14
2026-02-09T21:16:39.407089,Se precisa Urgente,Analista de Datos,Empleo destacado,,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-analista-de-informacion-reportes-en-bogota-dc-808712DC31F17FBD61373E686DCF3405#lc=ListOffers-Score4-15
2026-02-09T21:16:43.024664,Empleo destacado,Analista de Métricas y Datos,Postulado,"sql, software",True,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-metricas-y-datos-calidad-de-datos-uraba-y-bajo-cauca-en-medellin-F4A20D2AC55F47FA61373E686DCF3405#lc=ListOffers-Score4-16
2026-02-09T21:16:46.167545,Postulado,Senior Data Analyst/Bogotá,,"python, sql, software",False,senior,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-senior-data-analystbogota-en-bogota-dc-C750537A93F3A33E61373E686DCF3405#lc=ListOffers-Score4-17
2026-02-09T21:16:49.660370,Postulado,Analista de datos con manejo,,"python, sql, software",True,,5,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-con-manejo-power-bi-y-lenguaje-de-programacion-avanzado-en-bogota-dc-A1DD878E237D38B661373E686DCF3405#lc=ListOffers-Score4-18
2026-02-09T21:16:52.517734,Postulado,"Analista de Procesos, Bases, ETL y Datos Junior",,"python, sql, cloud, aws, support, software",False,junior,5,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-procesos-bases-etl-y-datos-junior-bogota-en-bogota-dc-0F80E56454CCA26961373E686DCF3405#lc=ListOffers-Score4-19
